,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
0,tt9893250,I Care a Lot,,2020, 19 February 2021,"Comedy, Crime, Thriller",118,UK,English,J Blakeson,J Blakeson,,,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,6.2,57813,,,,66.0,,
1,tt9770150,Nomadland,,2020, 19 February 2021,Drama,107,USA,English,Chloé Zhao,,,,"After losing everything in the Great Recession, a woman embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",7.6,29309,,,,94.0,,
2,tt1361336,Tom and Jerry,,2021, 26 February 2021,"Animation, Comedy, Family",101,UK,English,Tim Story,,,,"Adaptation of the classic Hanna-Barbera property, which reveals how Tom and Jerry first meet and form their rivalry.",5.3,11193,,,,33.0,,
3,tt4761112,The Mauritanian,,2021, 12 February 2021,"Drama, Thriller",129,UK,French,Kevin Macdonald,,,,Mohamedou Ould Salahi fights for freedom after being detained and imprisoned without charge by the U.S. Government for years.,7.3,4483,,,,54.0,,
4,tt8521718,The United States vs. Billie Holiday,,2021, 26 February 2021,"Biography, Drama, Music",130,USA,English,Lee Daniels,,,,"Follows Holiday during her career as she is targeted by the Federal Department of Narcotics with an undercover sting operation led by black Federal Agent Jimmy Fletcher, with whom she had a tumultuous affair.",6.4,2642,,,,52.0,,
5,tt9784798,Judas and the Black Messiah,,2021, 12 February 2021,"Biography, Drama, History",126,USA,English,Shaka King,,,,"Bill O'Neal infiltrates the Black Panther Party per FBI Agent Mitchell and J. Edgar Hoover. As Party Chairman Fred Hampton ascends, falling for a fellow revolutionary en route, a battle wages for O'Neal's soul.",7.7,19397,,,,86.0,,
6,tt9620292,Promising Young Woman,,2020, 25 December 2020,"Crime, Drama, Thriller",113,UK,English,Emerald Fennell,Emerald Fennell,,,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",7.5,42145,,,,72.0,,
7,tt7638348,Boss Level,,2020, 5 March 2021,"Action, Mystery, Sci-Fi",94,USA,English,Joe Carnahan,,,,A retired special forces officer is trapped in a never ending time loop on the day of his death.,6.9,8472,,,,55.0,,
8,tt6475714,Monster Hunter,,2020, 18 December 2020,"Action, Adventure, Fantasy",103,Germany,English,Paul W.S. Anderson,,,,"When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",5.3,22800,,,,45.0,,
9,tt10016180,The Little Things,,2021, 29 January 2021,"Crime, Drama, Thriller",128,USA,English,John Lee Hancock,John Lee Hancock,,,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",6.3,44018,,,,54.0,,
