id,date,hour_of_day,day_of_week,appointment
1,4/1/2021,0,4,1
2,4/1/2021,0,4,1
3,4/1/2021,1,4,1
4,4/1/2021,1,4,0
5,4/1/2021,2,4,1
6,4/1/2021,2,4,1
7,4/1/2021,5,4,0
8,4/1/2021,3,4,1
9,4/1/2021,6,4,0
10,4/1/2021,0,4,1
11,4/1/2021,7,4,0
12,4/1/2021,1,4,1
13,4/1/2021,8,4,0
14,4/1/2021,2,4,1
15,4/1/2021,2,4,1
16,4/1/2021,6,4,0
17,4/1/2021,3,4,1
18,4/1/2021,1,4,1
19,4/1/2021,4,4,1
20,4/1/2021,5,4,0
21,4/1/2021,5,4,1
22,4/1/2021,6,4,0
23,4/1/2021,6,4,1
24,4/1/2021,2,4,1
25,4/1/2021,2,4,1
26,4/1/2021,7,4,1
27,4/2/2021,0,5,1
28,4/2/2021,0,5,1
29,4/2/2021,1,5,1
30,4/2/2021,5,5,0
31,4/2/2021,2,5,1
32,4/2/2021,2,5,1
33,4/2/2021,5,5,0
34,4/2/2021,3,5,1
35,4/2/2021,6,5,0
36,4/2/2021,0,5,1
37,4/2/2021,7,5,0
38,4/2/2021,1,5,1
39,4/2/2021,8,5,0
40,4/2/2021,4,5,1
41,4/2/2021,6,5,0
42,4/2/2021,5,5,1
43,4/2/2021,5,5,0
44,4/2/2021,4,5,1
45,4/2/2021,5,5,0
46,4/2/2021,0,5,1
47,4/2/2021,6,5,0
48,4/2/2021,1,5,1
49,4/2/2021,2,5,1
50,4/2/2021,2,5,1
51,4/2/2021,0,5,1
52,4/5/2021,0,1,1
53,4/5/2021,8,1,1
54,4/5/2021,1,1,1
55,4/5/2021,2,1,1
56,4/5/2021,2,1,1
57,4/5/2021,4,1,1
58,4/5/2021,3,1,1
59,4/5/2021,5,1,0
60,4/5/2021,0,1,1
61,4/5/2021,1,1,1
62,4/5/2021,2,1,1
63,4/5/2021,2,1,1
64,4/5/2021,6,1,0
65,4/5/2021,3,1,1
66,4/5/2021,0,1,1
67,4/5/2021,1,1,1
68,4/5/2021,7,1,0
69,4/5/2021,2,1,1
70,4/5/2021,2,1,1
71,4/5/2021,3,1,1
72,4/5/2021,0,1,1
73,4/5/2021,4,1,1
74,4/5/2021,1,1,1
75,4/5/2021,5,1,0
76,4/5/2021,2,1,1
77,4/5/2021,2,1,1
78,4/5/2021,4,1,0
79,4/5/2021,3,1,1
80,4/5/2021,0,1,1
81,4/5/2021,1,1,1
82,4/5/2021,2,1,1
83,4/5/2021,2,1,1
84,4/5/2021,3,1,1
85,4/5/2021,0,1,1
86,4/5/2021,1,1,1
87,4/5/2021,2,1,1
88,4/5/2021,2,1,1
89,4/5/2021,3,1,1
90,4/5/2021,4,1,1
91,4/5/2021,5,1,0
92,4/5/2021,5,1,1
93,4/5/2021,6,1,1
94,4/5/2021,7,1,1
95,4/5/2021,6,1,0
96,4/5/2021,4,1,1
97,4/5/2021,5,1,1
98,4/5/2021,6,1,1
99,4/5/2021,0,1,0
100,4/5/2021,7,1,1
101,4/5/2021,1,1,0
102,4/5/2021,4,1,1
103,4/5/2021,2,1,1
104,4/5/2021,2,1,1
105,4/5/2021,5,1,1
106,4/6/2021,0,2,1
107,4/6/2021,1,2,1
108,4/6/2021,2,2,1
109,4/6/2021,2,2,1
110,4/6/2021,3,2,1
111,4/6/2021,0,2,1
112,4/6/2021,5,2,0
113,4/6/2021,1,2,1
114,4/6/2021,2,2,1
115,4/6/2021,2,2,1
116,4/6/2021,3,2,1
117,4/6/2021,4,2,0
118,4/6/2021,0,2,1
119,4/6/2021,1,2,1
120,4/6/2021,2,2,1
121,4/6/2021,2,2,1
122,4/6/2021,0,2,0
123,4/6/2021,3,2,1
124,4/6/2021,0,2,1
125,4/6/2021,1,2,1
126,4/6/2021,1,2,1
127,4/6/2021,2,2,1
128,4/6/2021,2,2,1
129,4/6/2021,2,2,0
130,4/6/2021,3,2,1
131,4/6/2021,4,2,0
132,4/6/2021,0,2,1
133,4/6/2021,1,2,1
134,4/6/2021,2,2,1
135,4/6/2021,3,2,1
136,4/6/2021,0,2,1
137,4/6/2021,1,2,1
138,4/6/2021,2,2,1
139,4/6/2021,3,2,1
140,4/6/2021,2,2,1
141,4/6/2021,3,2,1
142,4/6/2021,5,2,0
143,4/6/2021,4,2,1
144,4/6/2021,7,2,1
145,4/6/2021,4,2,1
146,4/6/2021,4,2,0
147,4/6/2021,5,2,1
148,4/6/2021,6,2,1
149,4/6/2021,7,2,1
150,4/6/2021,5,2,0
151,4/6/2021,4,2,1
152,4/6/2021,6,2,0
153,4/7/2021,3,3,0
154,4/7/2021,4,3,0
155,4/7/2021,7,3,0
156,4/7/2021,0,3,1
157,4/7/2021,1,3,1
158,4/7/2021,4,3,1
159,4/7/2021,2,3,1
160,4/7/2021,3,3,1
161,4/7/2021,0,3,1
162,4/7/2021,5,3,0
163,4/7/2021,1,3,1
164,4/7/2021,6,3,0
165,4/7/2021,2,3,1
166,4/7/2021,7,3,0
167,4/7/2021,4,3,0
168,4/7/2021,3,3,1
169,4/7/2021,5,3,0
